lon,lat
-86.38146499999999,41.720092
-84.91442669999999,40.8168794
-85.6812084,40.0955305
-86.1447542,39.9823872
-87.11169369999999,39.5293481
-86.49452699999999,38.853322
-87.49584829999999,37.9628438
-85.91615689999999,39.9894966
-86.1592051,39.93933699999999
-86.1958346,39.9090803
-85.6405966,39.0097135
-86.15689390000001,40.4863584
-85.8434347,40.27551649999999
-84.968994,40.1690952
-86.1071817,38.6132502
-86.20405600000001,39.9017707
-87.26292099999999,38.0418134
-87.2965648,40.2905485
-86.27329809999999,39.7776059
-85.83457539999999,38.3012927
-86.55119090000001,39.2059067
-85.17114959999999,40.7374106
-87.3314472,37.9929913
-85.76844109999999,38.3196211
-84.99495999999999,41.63421049999999
-85.4146284,40.1968976
-85.74927900000002,38.282244
-85.7655231,38.3295293
-85.8943352,39.2163141
-86.0755363,39.6282062
-86.03798189999999,39.8989702
-87.5069985,41.5505356
-86.07490489999999,39.7868112
-86.04093,39.900941
-85.6933403,40.1305129
-86.1586104,41.4561658
-86.13254599999999,39.6365539
-86.1261676,40.4468404
-86.1657178,40.4972117
-84.8824564,39.1112884
-87.33493829999999,41.43025
-87.1598346,38.6596091
-87.589781,38.3608587
-87.57125649999999,37.9830836
-85.47864539999999,39.3440127
-86.1502154,41.443457
-86.08261929999999,40.75673099999999
-85.10894259999999,41.1752138
-85.993207,41.6796028
-87.4202385,37.9795698
-86.1837364,39.7775523
-87.5097124,37.9945083
-87.50856399999999,37.9698473
-86.0407707,39.9033412
-86.36302959999999,40.76249
-86.7289942,41.6071878
-86.9055873,40.0664798
-87.3664721,41.3953233
-87.5253663,41.49287
-87.5241296,41.6151446
-86.081429,39.6499115
-86.8354738,40.3934681
-86.89810779999999,41.65976420000001
-86.3556555,39.6076612
-87.5123163,41.53822419999999
-87.1388606,40.9343526
-87.53294009999999,38.6727584
-85.8303859,41.5635169
-85.66652429999999,40.5649735
-87.1263477,39.0409409
-87.4099829,39.4854271
-85.7685869,39.7944852
-86.1461245,38.2386383
-87.38771249999999,39.3764121
-86.5015612,39.76263429999999
-85.36319759999999,39.94342959999999
-86.1636908,39.786779
-86.1533163,39.9805281
-86.1633559,39.7903409
-86.8062796,40.4011252
-85.414193,40.197283
-86.5129187,38.85946000000001
-85.3726904,40.4677793
-86.5112609,40.26959739999999
-86.15940789999999,39.9596046
-86.47532799999999,38.56829949999999
-86.0422846,40.2721616
-86.1633559,39.7903409
-86.7778818,40.7345768
-86.1518672,39.9649815
-87.047084,41.4888973
-86.6959945,41.6019902
-87.4820402,41.5367275
-87.2551087,41.5329236
-86.540383,39.1600593
-84.9838328,40.439496
-86.3401688,39.779959
-86.0768772,39.4795429
-86.1915446,39.7816275
-86.06050359999999,39.9017681
-87.5241296,41.6151446
-85.36384330000001,38.792688
-85.8282869,41.2482028
-86.8297213,40.4046537
-85.24489679999999,41.0385336
-85.24489679999999,41.0385336
-85.4012975,38.7613434
-85.786245,39.5600099
-85.22266979999999,39.3052516
-85.665461,40.5645967
-86.1588814,41.6712174
-86.3623863,40.7631713
-86.94011069999999,38.3959788
-86.2520967,41.6837137
-87.35774990000002,41.5994155
-86.32789319999999,41.3568901
-86.09878549999999,39.8560875
-86.5719324,39.1207087
-87.3374798,41.4485378
-86.0751044,39.7883649
-86.2788616,39.8262247
-85.030102,41.372441
-87.0501984,41.5519314
-86.6218586,41.2873712
-86.7279259,41.6091792
-87.4795118,41.5690015
-85.83942549999999,41.6036361
-86.0437984,39.8557946
-86.26721069999999,39.9080735
-85.1015863,41.1876997
-85.7006792,41.2052067
-85.10849209999999,41.0936779
-85.0355821,41.36890289999999
-85.4878255,40.9047133
-85.42611169999999,41.6457682
-85.29603329999999,41.4483537
-85.1007065,41.1870233
-85.824086,40.8211147
-85.4648969,41.158229
-86.732117,37.967592
-85.8282258,38.339927
-87.32855459999999,41.4480971
-87.0518872,41.4896283
-86.59605409999999,41.0562008
-86.8476013,39.621285
-87.4475437,41.6348372
-87.36346979999999,41.46343239999999
-85.24816369999999,41.0428899
-86.2772754,39.8300284
-86.18028679999999,41.7033571
-84.8848032,39.8642159
-84.9269066,39.8346752
-86.89372,40.460398
-86.0234447,40.0457603
-85.4442464,39.6221313
-86.1734082,41.7070429
-86.331972,41.3335307
-85.90174549999999,38.9522474
-85.78626039999999,38.704631
-87.56746509999999,37.9679924
-85.7947083,38.3366748
-87.4475437,41.6348372
-84.88342779999999,39.111381
-85.1493375,41.0781264
-87.26058909999999,41.5124924
-86.1958346,39.9090803
-87.41277219999999,39.1256786
-86.8274467,40.40673960000001
-87.40897869999999,39.41951160000001
-85.24981570000001,41.0400016
-87.39882670000001,39.6526659
-87.4069909,39.48584109999999
-86.1781163,41.70124510000001
-86.0864265,39.6152112
-87.3252945,41.444427
-85.7094418,38.3266945
-86.473636,40.0770882
-87.447491,37.9738741
-86.1957552,41.0639232
